System,PVREAD,LANGN,AGE,PAREDINT,EFFORT1,DURECEC,ESCS,JOYREAD,DISCLIMA,TEACHSUP,CLSIZE,STAFFSHORT,EDUSHORT,TOTAT,STRATIO
Israel Arabic,472.6864,500,16,14.5,10,3,0.2332,0.0158,-0.0424,0.7628,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,249.4697,500,16.17,16,5,2,0.0227,0.9908,-0.0424,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,480.9516,500,15.92,12,10,3,-0.7813,1.7513,2.0345,0.1694,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,535.4966,500,15.67,12,10,1,-1.1533,1.7513,-0.0424,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,454.1901,500,15.42,16,10,3,0.731,-0.3253,0.9207,-0.2441,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,338.938,500,16,14.5,9,3,0.6162,0.2363,-0.6495,0.1694,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,400.4103,500,16.17,12,8,3,0.0844,0.7789,-0.7049,0.3485,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,506.7311,500,15.25,12,10,3,-0.1973,2.0787,0.4501,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,424.5692,313,16,14.5,10,4,-0.2384,0.8628,0.3529,-0.3882,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,352.4626,500,15.75,14.5,9,3,0.3771,-0.645,-0.0424,-0.3584,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,318.0872,500,16.08,12,7,4,-1.0756,-0.0339,-2.7124,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,312.723,500,16,12,10,2,-0.3907,0.2076,2.0345,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,346.587,500,15.92,16,6,3,0.4695,0.638,-0.111,-0.0037,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,432.137,500,16,16,10,3,1.0703,1.2316,0.7843,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,324.4984,313,15.5,16,5,2,0.0069,-0.1119,-2.7124,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,360.7908,500,15.33,14.5,7,NA,-0.4494,NA,2.0345,NA,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,348.9327,500,15.33,16,10,2,-0.4701,1.4712,-0.8051,0.6259,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,409.9752,500,16.17,16,7,2,-0.4817,0.8628,-0.3697,0.385,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,538.9259,500,15.5,16,7,3,0.216,2.6131,0.2108,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,308.8113,500,16.17,12,6,4,-1.0843,0.0332,1.1945,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,401.8167,500,15.33,16,10,NA,0.642,-0.3875,-0.3031,-0.2023,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,391.8937,500,15.42,16,10,1,0.7464,-1.9715,-0.0424,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,426.5236,500,15.5,12,NA,4,-0.4441,0.825,0.2377,0.7015,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,456.7866,500,15.58,12,9,3,-0.844,1.0123,2.0345,0.0483,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,375.18,422,16.08,12,7,3,-0.5565,1.7513,0.9134,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,443.3754,500,15.75,16,10,4,-0.6841,0.8628,-0.0424,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,366.8424,500,15.83,12,10,1,0.9115,1.1316,-2.7124,-0.2023,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,413.0514,500,15.42,16,NA,0,-0.224,0.5405,-1.0963,-0.3374,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,348.5175,825,15.42,14.5,8,2,0.7262,0.1372,-0.3031,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,350.1285,500,16,12,10,5,-0.9995,-0.4586,-0.0424,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,323.5767,500,15.42,12,1,2,-0.9879,0.1501,2.0345,-2.7106,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,371.7652,500,15.5,14.5,NA,3,0.2023,-0.6311,1.1945,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,611.8175,500,15.92,14.5,4,2,-0.0473,2.6131,0.8946,-0.1931,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,616.4634,500,15.83,16,6,3,1.0138,0.1667,-0.4195,-0.6298,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,507.4241,500,15.5,12,8,NA,-0.9172,0.8628,1.1945,0.2485,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,424.9498,422,15.42,16,10,2,-1.0149,-0.1672,-1.9119,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,423.7234,500,15.92,12,10,1,-1.3623,-0.2704,0.4922,0.6259,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,285.7326,500,15.67,12,5,1,-0.8052,0.168,-0.3031,-1.174,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,387.3593,500,15.92,12,10,3,-0.9124,0.0127,-0.9389,-0.6262,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,360.1525,500,15.92,12,10,0,-0.6087,2.6131,-1.4132,-2.1621,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,452.9799,500,15.83,16,8,NA,0.6866,1.0781,2.0345,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,385.0203,500,15.58,14.5,3,4,-0.1508,1.5806,0.1863,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,556.3451,500,15.5,16,10,NA,1.006,0.5572,1.2471,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,377.0453,500,15.42,12,8,3,-0.9862,0.4807,-1.4732,0.7628,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,387.3008,500,15.75,14.5,9,4,0.459,0.253,0.871,-0.8065,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,411.3847,500,16.17,16,7,4,0.9904,-0.4389,1.1945,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,407.5516,500,15.67,16,8,2,1.7812,-0.0847,0.0523,1.314,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,289.6926,500,16,12,NA,1,-0.6228,-0.4389,-0.6247,0.7015,33,0.4104,0.7889,58.5,13.0085
Israel Arabic,317.3727,500,15.58,16,9,4,-0.2529,NA,-0.3492,-0.0771,38,0.1825,-0.2376,NA,NA
Israel Arabic,211.1229,999,15.42,16,NA,NA,-0.4803,NA,NA,NA,38,0.1825,-0.2376,NA,NA
Israel Arabic,398.8554,422,15.42,12,10,4,0.0364,0.1372,-0.4825,0.1694,38,0.1825,-0.2376,NA,NA
Israel Arabic,272.3308,500,15.92,14.5,NA,4,-0.6577,0.168,-0.2789,NA,38,0.1825,-0.2376,NA,NA
Israel Arabic,380.6404,500,15.92,16,7,3,1.0198,0.1372,0.2377,-0.2023,38,0.1825,-0.2376,NA,NA
Israel Arabic,208.3075,313,16.08,16,8,NA,-0.1535,NA,-0.8593,-0.7659,38,0.1825,-0.2376,NA,NA
Israel Arabic,385.3622,500,15.5,9,10,5,-1.312,NA,2.0345,NA,38,0.1825,-0.2376,NA,NA
Israel Arabic,439.2958,500,15.75,12,9,3,-0.8787,0.3992,0.4922,-0.0037,38,0.1825,-0.2376,NA,NA
Israel Arabic,310.0946,500,15.25,14.5,NA,1,-0.8071,0.26,-0.5396,0.0059,38,0.1825,-0.2376,NA,NA
Israel Arabic,279.448,500,15.33,14.5,9,1,-0.0851,NA,0.7745,1.314,38,0.1825,-0.2376,NA,NA
Israel Arabic,305.1545,500,15.83,12,NA,2,-1.4763,0.6139,2.0345,1.314,38,0.1825,-0.2376,NA,NA
Israel Arabic,369.6662,500,15.83,14.5,2,NA,-0.6204,-0.1904,2.0345,1.314,38,0.1825,-0.2376,NA,NA
Israel Arabic,276.5552,500,15.5,16,9,3,-0.99,0.5935,-0.3697,-2.1007,38,0.1825,-0.2376,NA,NA
Israel Arabic,322.4563,500,16.25,12,9,4,-1.2949,NA,2.0345,-1.0492,38,0.1825,-0.2376,NA,NA
Israel Arabic,355.5657,500,16.08,16,NA,3,-0.6113,-0.1542,-0.0424,-0.0348,38,0.1825,-0.2376,NA,NA
Israel Arabic,236.0267,614,16.08,16,1,3,-0.0254,0.3412,-0.8683,-1.2881,38,0.1825,-0.2376,NA,NA
Israel Arabic,343.2314,422,15.5,NA,10,4,NA,0.5129,1.1945,1.314,38,0.1825,-0.2376,NA,NA
Israel Arabic,275.0054,999,15.58,12,10,NA,-0.322,NA,NA,0.7628,38,0.1825,-0.2376,NA,NA
Israel Arabic,237.7229,500,15.92,16,6,4,1.0119,NA,NA,NA,38,0.1825,-0.2376,NA,NA
Israel Arabic,295.4409,500,15.75,16,9,NA,0.5783,-0.0025,-0.4948,NA,38,0.1825,-0.2376,NA,NA
Israel Arabic,207.3736,999,15.67,16,10,NA,NA,NA,NA,NA,38,0.1825,-0.2376,NA,NA
Israel Arabic,217.4395,500,16.08,3,9,2,-1.0601,NA,NA,NA,38,0.1825,-0.2376,NA,NA
Israel Arabic,311.0527,500,15.83,16,10,5,0.8531,0.2641,2.0345,1.314,38,0.1825,-0.2376,NA,NA
Israel Arabic,331.4731,500,15.75,16,10,NA,0.0313,-0.0249,0.7767,0.481,38,0.1825,-0.2376,NA,NA
Israel Arabic,377.5291,500,16.17,16,10,3,-0.2157,0.1372,-0.0424,1.314,38,0.1825,-0.2376,NA,NA
Israel Arabic,281.4496,500,16.17,12,NA,3,-1.3297,0.308,1.2471,-2.7106,38,0.1825,-0.2376,NA,NA
Israel Arabic,314.4434,500,15.58,14.5,5,3,-0.8359,-0.3377,2.0345,1.314,38,0.1825,-0.2376,NA,NA
Israel Arabic,435.267,500,15.33,NA,10,NA,NA,NA,NA,-1.371,38,0.1825,-0.2376,NA,NA
Israel Arabic,332.285,999,15.58,12,NA,NA,NA,NA,NA,NA,38,0.1825,-0.2376,NA,NA
Israel Arabic,192.4199,493,16.17,16,8,1,0.2711,-0.5792,-1.0578,-0.3472,38,0.1825,-0.2376,NA,NA
Israel Arabic,327.1506,422,15.5,14.5,9,2,-0.6928,-0.1672,-1.2176,0.039,38,0.1825,-0.2376,NA,NA
Israel Arabic,449.4901,999,15.67,12,8,NA,-0.7636,NA,NA,NA,38,0.1825,-0.2376,NA,NA
Israel Arabic,380.0277,500,16,14.5,10,3,-0.4015,-0.0176,2.0345,-0.0862,38,0.1825,-0.2376,NA,NA
Israel Arabic,436.8527,500,16,16,9,4,1.3223,0.4693,0.396,1.314,38,0.1825,-0.2376,NA,NA
Israel Arabic,336.4478,500,16,16,3,2,0.3992,0.2641,1.3671,1.314,38,0.1825,-0.2376,NA,NA
Israel Arabic,331.666,422,15.58,16,10,NA,1.9623,NA,NA,NA,38,0.1825,-0.2376,NA,NA
Israel Arabic,283.2256,999,15.25,16,NA,NA,0.1455,NA,NA,NA,38,0.1825,-0.2376,NA,NA
Israel Arabic,463.643,500,15.5,12,6,4,-0.4545,-0.6483,0.2108,1.314,38,0.1825,-0.2376,NA,NA
Israel Arabic,389.2498,500,15.92,16,5,4,-1.4209,-0.4042,-2.7124,-0.9422,38,0.1825,-0.2376,NA,NA
Israel Arabic,277.0069,500,15.25,14.5,10,NA,-2.2308,1.5806,-1.0356,-1.7418,38,0.1825,-0.2376,NA,NA
Israel Arabic,247.4546,493,15.75,16,6,3,-0.1276,0.2999,-0.7216,-0.1913,38,0.1825,-0.2376,NA,NA
Israel Arabic,383.4063,422,15.33,9,5,4,-1.3103,0.9324,0.7843,1.314,38,0.1825,-0.2376,NA,NA
Israel Arabic,256.8381,999,15.75,16,9,8,0.1702,NA,NA,NA,38,0.1825,-0.2376,NA,NA
Israel Arabic,319.403,500,15.5,12,NA,2,0.0077,0.4493,-0.2639,0.7015,38,0.1825,-0.2376,NA,NA
Israel Arabic,326.5176,500,15.92,16,7,4,1.0687,0.7215,-0.0424,-0.5488,38,0.1825,-0.2376,NA,NA
Israel Arabic,349.4054,500,15.33,12,NA,2,-0.4502,0.3206,0.9374,-1.1481,33,0.592,0.1,81.5,12.4294
Israel Arabic,295.1529,500,15.67,12,NA,NA,-1.3244,0.1372,-0.9794,-0.5683,33,0.592,0.1,81.5,12.4294
Israel Arabic,417.996,500,15.42,12,NA,4,0.1466,1.2374,1.4022,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,347.3756,500,15.5,9,NA,2,-1.7637,0.1372,-0.9415,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,413.083,500,16.17,16,10,NA,0.0804,-0.1119,2.0345,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,354.6994,500,16.08,16,10,2,-0.2924,0.308,2.0345,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,396.2115,500,15.75,14.5,10,2,-1.0613,0.1372,2.0345,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,279.6633,500,15.5,16,6,NA,-0.1533,NA,NA,NA,33,0.592,0.1,81.5,12.4294
Israel Arabic,357.1465,500,15.5,16,10,2,0.6313,0.8942,2.0345,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,251.2903,500,15.33,16,10,NA,-0.6465,-0.023,2.0345,-1.2301,33,0.592,0.1,81.5,12.4294
Israel Arabic,329.908,500,15.67,12,10,2,-1.1994,-0.6896,2.0345,0.4522,33,0.592,0.1,81.5,12.4294
Israel Arabic,303.083,500,15.33,16,10,2,-0.3053,-0.0841,0.2784,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,228.7661,500,15.58,9,NA,2,-1.4046,-0.0176,-2.0663,-0.0554,33,0.592,0.1,81.5,12.4294
Israel Arabic,284.4954,500,15.5,12,10,1,-0.4785,1.5806,2.0345,-2.7106,33,0.592,0.1,81.5,12.4294
Israel Arabic,203.9876,422,15.75,16,NA,NA,-1.2319,NA,NA,-1.5987,33,0.592,0.1,81.5,12.4294
Israel Arabic,280.7026,500,15.83,16,10,1,-1.0084,NA,2.0345,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,265.1451,500,15.67,16,10,2,0.4078,0.2011,0.396,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,347.4113,500,15.67,14.5,NA,2,-0.6832,0.9011,-0.6633,0.4522,33,0.592,0.1,81.5,12.4294
Israel Arabic,362.3756,500,15.83,12,4,2,-1.256,-0.0046,-0.4773,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,388.0438,500,15.5,14.5,8,3,-1.3402,-0.1162,-0.3031,-1.2301,33,0.592,0.1,81.5,12.4294
Israel Arabic,322.6542,500,16.17,16,10,1,0.402,0.3781,2.0345,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,224.3318,500,15.5,16,7,3,0.982,NA,NA,NA,33,0.592,0.1,81.5,12.4294
Israel Arabic,276.0601,500,16,9,NA,1,-1.4479,0.4021,-0.6122,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,226.1179,500,15.25,16,NA,2,-0.9567,-0.1162,0.396,0.6259,33,0.592,0.1,81.5,12.4294
Israel Arabic,370.9188,500,16.17,12,10,3,-0.6542,-1.793,-0.0424,-0.1719,33,0.592,0.1,81.5,12.4294
Israel Arabic,404.5049,500,15.42,12,10,1,-0.6027,1.7513,1.2471,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,395.1257,500,15.92,12,10,2,-1.3637,0.5046,0.4922,-0.3882,33,0.592,0.1,81.5,12.4294
Israel Arabic,253.8313,500,15.92,16,NA,NA,1.2098,0.1372,1.4424,0.3485,33,0.592,0.1,81.5,12.4294
Israel Arabic,312.7154,500,16,16,10,3,0.7594,0.0674,-0.051,0.2485,33,0.592,0.1,81.5,12.4294
Israel Arabic,224.014,500,16,12,NA,4,-1.0183,-0.2875,-0.7422,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,343.4547,500,15.33,12,10,1,0.0265,0.6277,2.0345,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,343.3976,500,16.08,12,10,NA,0.9733,-0.1119,2.0345,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,418.8077,500,16,14.5,10,1,0.9155,1.5998,0.5156,-1.5447,33,0.592,0.1,81.5,12.4294
Israel Arabic,444.9432,500,16.17,14.5,9,4,0.4309,0.1372,0.627,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,445.7601,500,16.17,9,10,5,-0.6711,-0.0176,0.7843,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,308.7101,500,15.67,16,10,3,1.0888,-0.1162,1.1945,0.7628,33,0.592,0.1,81.5,12.4294
Israel Arabic,360.3075,500,16.08,14.5,10,1,-0.5093,0.1372,0.2377,-0.2023,33,0.592,0.1,81.5,12.4294
Israel Arabic,264.46,500,16.17,12,10,3,-1.2402,0.2524,-0.0424,-0.2023,33,0.592,0.1,81.5,12.4294
Israel Arabic,301.5452,500,15.5,12,9,NA,-1.2257,0.6832,0.7745,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,289.1041,500,15.58,16,10,0,-0.4038,0.6977,2.0345,-2.7106,33,0.592,0.1,81.5,12.4294
Israel Arabic,390.8758,500,15.83,16,NA,NA,1.392,-0.1119,2.0345,1.314,33,0.592,0.1,81.5,12.4294
Israel Arabic,413.8842,500,16.17,12,9,2,-0.8987,0.2363,1.0832,-0.9422,33,0.592,0.1,81.5,12.4294
Israel Arabic,218.4049,500,15.58,12,4,5,-1.1423,NA,NA,NA,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,250.5927,500,16.17,14.5,10,4,0.5564,NA,0.9639,0.4522,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,250.9094,500,15.42,6,9,NA,-2.5582,-0.2812,2.0345,1.3411,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,288.2304,500,16.08,16,10,4,0.8018,NA,-0.784,-0.2327,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,290.2977,500,15.67,14.5,4,NA,0.283,NA,NA,NA,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,205.2015,500,15.25,14.5,6,NA,0.5855,NA,-2.7124,-0.0771,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,226.953,313,15.5,16,4,NA,-0.1417,NA,-0.4667,-0.5683,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,217.097,999,15.75,NA,NA,NA,NA,NA,NA,NA,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,330.2958,500,15.83,14.5,9,NA,-1.3569,0.1372,-0.9868,-0.2023,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,236.5229,999,15.25,NA,7,NA,NA,NA,NA,NA,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,217.597,500,15.92,16,9,1,-1.1212,NA,-0.0481,1.314,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,279.8071,422,15.58,9,6,NA,-0.717,NA,NA,-0.8431,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,183.2846,500,15.92,16,10,NA,-0.1317,NA,-2.7124,1.314,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,285.9317,422,15.42,16,9,0,-0.2077,0.1847,-0.9321,-0.7659,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,221.7165,614,16,16,8,NA,0.2744,NA,NA,NA,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,295.1591,500,15.67,16,5,4,-0.0796,0.1372,-0.7422,1.314,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,270.6776,422,16.08,16,9,2,0.7213,-0.1672,-0.7657,-0.7659,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,235.4172,313,16.17,14.5,7,NA,-0.5681,NA,-0.6263,-1.6637,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,304.2464,500,15.5,14.5,10,3,-0.161,-0.5262,-0.0424,-1.1429,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,190.8249,999,16.25,16,NA,NA,0.0439,NA,NA,NA,23,1.7591,2.9595,47.5,7.8526
Israel Arabic,338.6405,500,15.83,12,6,3,-0.6555,NA,0.7632,1.314,23,1.7591,2.9595,47.5,7.8526
